filename,start,end,speaker,text,translit,audio_path,prediction_wav2vec2
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_028,69.74,72.01,АА,"Та тумпанылн ёхтысыт, лю̄ляхо̄лэ̄гыт.","ta tumpaniln joxtisət, l'ujūl'ajaxōlēɣət.",data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/028_╨ó╨░_╤é╤â╨╝╨┐╨░╨╜╤ï╨╗╨╜_╤à╤é╤ï╤ü╤ï╤é_.wav,DE A TUMPAAUN JO TUSZT JÓGYA HAOLÉJ
mns_96090f15-60d2-403c-9248-112bd4773e4c_015,51.16,54.4,АА,Сӯкыръя па̄выл сака пе̄с та̄гыл о̄лнэ па̄выл.,sūkirъja pāwəl saka p'eēs tāɣəl ōlne pāwəl.,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/015_╨í╤â_╨║╤ï╤Ç╤è╤Å_╨┐╨░_╨▓╤ï╨╗_╤ü╨░╨║╨░.wav,SZÓKORI A PAVÓ SZEKEPI ESZTÁJUL OLLDNÉ PAVO
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_001,0.42,1.55,АА,Во̄раян э̄ква ,wōrajan ēkwa,data/AudioCorpus/Recordings/mns_2767c816-42ce-40cd-9f96-77d8703bac5c/001_╨Æ╨╛_╤Ç╨░╤Å╨╜_╤ì_╨║╨▓╨░_.wav,A VORRA JÖN TÉLKVA
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_058,133.57,134.91,АА,Ань мус иӈ лю̄ле̄гыт.,an' mus iŋ l'ujūl'eēɣət.,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/058_╨É╨╜╤î_╨╝╤â╤ü_╨╕_╨╗╤Ä_╨╗╨╡_╨│╤ï╤é_.wav,ÁNYMUSSZ ING GYÓLI
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_021,76.13,78.71,АА,Тувыл а̄лпыл пыге тамле ня̄нил тыт­тумтэ. ,tuwəl ālpəl piɣ'ee taml'ee n'ajān'əl tit­tumte.,data/AudioCorpus/Recordings/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/021_╨ó╤â╨▓╤ï╨╗_╨░_╨╗╨┐╤ï╨╗_╨┐╤ï╨│╨╡_╤é╨░.wav,TÓLA ÁLPU PUIL-TAMÚGYI NYÁNYUT ITTUM
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_030,104.97,108.53,АА,Ос акитэ Пётр Тимофеевич Остеров хурииг о̄ньщас.,os ak'ite p'ojotr t'imof'eeew'əч ost'eerow xur'iəɣ ōn's'as.,data/AudioCorpus/Recordings/mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e/030_╨₧╤ü_╨░╨║╨╕╤é╤ì_╨ƒ_╤é╤Ç_╨ó╨╕╨╝╨╛╤ä╨╡.wav,OSSZ EKÍTÉ PJOTRTYIMAGY FÉVICS OSZTYAROF HURÍGÜG ONYSE
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_003,8.6,12.41,АА,Аквмат сунсы: аманыр­сыр ут ты во̄псыты ман матари.,akwmat sunsi: amanir­sər ut ti wōpsiti man matar'i.,data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/003_╨É╨║╨▓╨╝╨░╤é_╤ü╤â╨╜╤ü╤ï_╨░╨╝╨░╨╜╤ï╤Ç_.wav,AKOMAT SZUNSZI AMANRSZI ARÚT TJUVÓ OPSITI MAN MATERI
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_038,167.45,169.95,АА,"Акваг та ащир­маӈ, акваг та ащирмаӈ.","akwaɣ ta as''ir­maŋ, akwaɣ ta as''irmaŋ.",data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/038_╨É╨║╨▓╨░╨│_╤é╨░_╨░╤ë╨╕╤Ç_╨╝╨░_╨░╨║╨▓.wav,HÁKOLY TAÁLJ SÍRMÖN ÁKOLI TAÁLJ SÍRMAG
mns_96090f15-60d2-403c-9248-112bd4773e4c_071,283.92,285.74,АА,Ам Выборг ӯс ляпат о̄лэ̄гум.,am wiбorɣ ūs l'ajapat ōlēɣum.,data/AudioCorpus/Recordings/mns_96090f15-60d2-403c-9248-112bd4773e4c/071_╨É╨╝_╨Æ╤ï╨▒╨╛╤Ç╨│_╤â_╤ü_╨╗╤Å╨┐╨░╤é_.wav,AMWÜLBORKÚSZ LYAPADT OLÉB
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_046,109.52,110.67,АА,Э̄лумхо̄лас хурипат.,ēlumxōlas xur'ipat.,data/AudioCorpus/Recordings/mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d/046_╨¡_╨╗╤â╨╝╤à╨╛_╨╗╨░╤ü_╤à╤â╤Ç╨╕╨┐╨░╤é_.wav,JOMHOLVASZ HURIIPO
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_034,152.67,156.14,АА,"Аман о̄с тув ялантас, аман ат ялантас, такви вāгтэ.","aman ōs tuw jalantas, aman at jalantas, takw'i wāɣte.",data/AudioCorpus/Recordings/mns_ca5e6e76-2770-4449-b316-ac868df3c03f/034_╨É╨╝╨░╨╜_╨╛_╤ü_╤é╤â╨▓_╤Å╨╗╨░╨╜╤é╨░╤ü.wav,ÁMAN OSZTÚJ JALLANTASZ ÁM A NATIJALLANT AZ TA KJUVÁITÉ
mns_4852643b-549d-4b41-9b8f-b624aac64f1b_042,163.91,166.64,ЛТ,"Омав ат потыртас, супне̄лм та̄л о̄лыс.","omaw at potirtas, supn'eēlm tāl ōləs.",data/AudioCorpus/Recordings/mns_4852643b-549d-4b41-9b8f-b624aac64f1b/042_╨₧╨╝╨░╨▓_╨░╤é_╨┐╨╛╤é╤ï╤Ç╤é╨░╤ü_╤ü╤â╨┐.wav,ÓMO AT PÓTRÖTT AZ SZUPNYIOM TÁGZ
mns_98188aac-566e-4606-9f72-9071898149ff_032,131.21,137.98,ЛТ,Хо̄нтаӈ ма̄ньщи э̄ква Анна Митрофановна Конькова хансум мо̄йтанэ ня̄врамыт ёт ловиньтэ̄в ос суссылтэ̄в.,xōntaŋ mān's''i ēkwa anna m'itrofanowna kon'kowa xansum mōjtane n'ajāwramət jot low'in'tēw os sussiltēw.,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/032_╨Ñ╨╛_╨╜╤é╨░_╨╝╨░_╨╜╤î╤ë╨╕_╤ì_╨║╨▓╨░.wav,HONTANG MÁNSÉEKA ÁNNEM ITT RA FÁN ANNEKEN KOVA HÁNCON MOJDÖNNÉN NYÁVRAMNATI JÖTT LÓVINTÉÓ HOSSZÚ SZÓTÉÓ
mns_98188aac-566e-4606-9f72-9071898149ff_076,295.42,299.33,ЛТ,"Са̄всыр па̄влыт хо̄нтум пе̄с пормасыт, нэ̄пакыт музейн тотсанэ.","sāwsər pāwlət xōntum p'eēs pormasət, nēpakət muз'eejn totsane.",data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/076_╨í╨░_╨▓╤ü╤ï╤Ç_╨┐╨░_╨▓╨╗╤ï╤é_╤à╨╛_╨╜.wav,SZÁSZRA PÁVULT HONTUN PIARC PORMASZÜK NÉPA KÖT MUZSIN TOCSANN
mns_fd136af3-054f-4c7f-95e1-993cced9bff2_007,25.85,29.8,ЛТ,Тувыл ты кол па̄влувт о̄лнэ музей ёт акван-тотвесы̄г.,tuwəl ti kol pāwluwt ōlne muз'eej jot akwan-totw'eesə̄ɣ.,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/007_╨ó╤â╨▓╤ï╨╗_╤é╤ï_╨║╨╛╨╗_╨┐╨░_╨▓╨╗╤â╨▓.wav,TÓVÓ TIKÓ PAHÓ TÓNI- MUS JÉ JÖT Á GONTOT VISZI
mns_98188aac-566e-4606-9f72-9071898149ff_071,275.54,278.84,ЛТ,Кондинский па̄выл ляпат ӯнлын ма̄ньщи па̄влыт ханищтэ̄в.,konд'insk'əj pāwəl l'ajapat ūnlən mān's''i pāwlət xan'is'tēw.,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/071_╨Ü╨╛╨╜╨┤╨╕╨╜╤ü╨║╨╕╨╕╠å_╨┐╨░_╨▓╤ï╨╗_╨╗╤Å.wav,KANGYINCKI PAUIIAPPADT ONDULN MANCSI PALUTHÁNYIS TIO
mns_98188aac-566e-4606-9f72-9071898149ff_093,363.88,370.29,ЛТ,"Ня̄врамыт ханищтан хо̄тпат, ле̄ккарыт ос са̄в мо̄т э̄рнэ рӯпата ва̄рнэ ще̄мьят урыл тыт потыртасӯв.","n'ajāwramət xan'is'tan xōtpat, l'eēkkarət os sāw mōt ērne rūpata wārne s''eēm'jat urəl tit potirtasūw.",data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/093_╨¥╤Å_╨▓╤Ç╨░╨╝╤ï╤é_╤à╨░╨╜╨╕╤ë╤é╨░╨╜_╤à.wav,NYÁVAROMÖTT HANNYISTEN HOTTPAI ÉKKADT HA SZÁOMOTÉRNÖ RÓPATA VÁRNA SÉMJATÚRÓ DITT POTRATA SZÓ
mns_98188aac-566e-4606-9f72-9071898149ff_086,337.27,339.87,ЛТ,Та̄нки хансум потраныл о̄с тыт ловиньтасыт.,tānk'i xansum potranəl ōs tit low'in'tasət.,data/AudioCorpus/Recordings/mns_98188aac-566e-4606-9f72-9071898149ff/086_╨ó╨░_╨╜╨║╨╕_╤à╨░╨╜╤ü╤â╨╝_╨┐╨╛╤é╤Ç╨░╨╜.wav,TÁN KI HAN CUMPOTRAN OSZTITT LÓVINTÁS
mns_3696732f-c891-4e0b-b306-3aa88f4c3d23_035,143.31,144.96,ЛТ,Щурт­мил тапалн ёл-рагатас. ,s'urt­m'əl tapaln jol-raɣatas.,data/AudioCorpus/Recordings/mns_3696732f-c891-4e0b-b306-3aa88f4c3d23/035_╨⌐╤â╤Ç╤é_╨╝╨╕╨╗_╤é╨░╨┐╨░╨╗╨╜_╨╗_╤Ç╨░.wav,SÚRT MIUT A PAN JÓRA ÉRTE
mns_60f76664-d5fb-45c1-9a28-56f178e825dc_034,132.97,136.15,ЛТ,Са̄­лы ляпат акваг рась ос тӯл­мах яласасэ̄г. ,sā­li l'ajapat akwaɣ ras' os tul­max jalasasēɣ.,data/AudioCorpus/Recordings/mns_60f76664-d5fb-45c1-9a28-56f178e825dc/034_╨í╨░_╨╗╤ï_╨╗╤Å╨┐╨░╤é_╨░╨║╨▓╨░╨│_╤Ç╨░.wav,SZÁONI LJÖB PETA KOLY A RÁTY OS TURMAHI AGLASZASSZI
mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d_011,34.3,37.97,ЛТ,Ос хо̄нт­лын со̄лтатыт ма̄гыс ӯсмат туюӈкве вуйхатсыт. ,os xōnt­lən sōltatət māɣəs usmat tujuŋkw'ee wujxatsət.,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/011_╨₧╤ü_╤à╨╛_╨╜╤é_╨╗╤ï╨╜_╤ü╨╛_╨╗╤é╨░╤é.wav,OZ HON TUNCA-OTÁ TATET MAISZÓ HÚSZMATTUJUNC JOB UIJHATÁSZET
mns_fafddecd-cba3-48ad-bc8d-361d3219331a_005,20.68,26.27,ЛТ,"Ты суссылтап ущ рӯ­питаӈкве о̄вылтахтаме порат, тув ӯс мир коны­пал.","ti sussiltap us' ru­p'itaŋkw'ee ōwiltaxtam'ee porat, tuw us m'ər koni­pal.",data/AudioCorpus/Recordings/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/005_╨ó╤ï_╤ü╤â╤ü╤ü╤ï╨╗╤é╨░╨┐_╤â╤ë_╤Ç_╨┐╨╕.wav,TI OS HULSÓUTAP USRUL-PÜTÖNTKVŐ ÓVÓ TAH TENŐPORNAT TUM ÚSZŰOKONNÉPONG
mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d_016,51.65,54.56,ЛТ,Тӯйтыг­лахтын хӯлпыт хо̄нтлан ма̄н ке̄тыянӯв.,tujtiɣ­laxtən xulpət xōntlan mān k'eētijanuw.,data/AudioCorpus/Recordings/mns_980c2886-1b28-406d-ae4b-5a76c9bfd98d/016_╨ó_╨╕╠å╤é╤ï╨│_╨╗╨░╤à╤é╤ï╨╜_╤à_╨╗╨┐╤ï╤é.wav,TÚJTAVAHTAM HÓKPODT HONT VAN MÁ KÉT ILYE NÓ
mns_fd136af3-054f-4c7f-95e1-993cced9bff2_020,92.88,96.82,ЛТ,Тӯяг ам Ханты-Мансийск ӯсн То̄рум ма̄ музей ялсум.,tujaɣ am xanti-mans'ijsk usn tōrum mā muз'eej jalsum.,data/AudioCorpus/Recordings/mns_fd136af3-054f-4c7f-95e1-993cced9bff2/020_╨ó_╤Å╨│_╨░╨╝_╨Ñ╨░╨╜╤é╤ï_╨£╨░╨╜╤ü╨╕╨╕╠å.wav,TOLJAD ÁMHANTÉ M AGY SZIUSZKÓSUMMÚ ZSÉN TOROM MÁIA OSSZUM
