Metadata,,,,,,,,
№,Автор,Файл_№,Файл (путь от рабочей папки),Начало (сек),Конец (сек),Текст,Code,Носитель
11,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_011,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/011_Щар_сома_ха_й_тыл_ял.wav,35.300,41.260,"Щар сома ха̄й­тыл ялнэ̄тэ. Тыг хотталь ты, ва̄ӈнаге̄н ман мар­ка­ге̄н ма̄нь товылквег ха­нувъяптынэ̄тэ.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
12,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_012,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/012_Тох_моля_хыг_к_стыры.wav,41.320,46.040,"Тох моля­хыг, кӯстырыг матыр я̄ ӯлтта, ман э̄т по̄лям я̄ӈк тармыл та тахнэ̄тэ. ",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
13,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_013,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/013_Ягпыганэ_н_юил_х_ту_.wav,46.050,49.880,"Ягпыганэ̄н юил ёх­туӈкв ат ве̄рмынэ, таке̄м та пе̄лп о̄лум.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
14,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_014,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/014_Ягпы_га_нэ_хум_о_с_а.wav,49.980,53.680,"Ягпы­га̄нэ, хум, о̄с акв тох пуссын во̄раян ос алыщлапыӈ хумит кос.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
15,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_015,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/015_Нас_ма_нь_пыганыл_ар.wav,53.750,57.280,"Нас, ма̄нь пыганыл аргеннув ка̄ркамыг ос а̄прыӈыг о̄лум.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
16,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_016,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/016_Ща_не_ос_тахурип_та_.wav,57.330,63.350,"Ща̄не ос тахурип та о̄лум, акваг аман хотыл та̄ра-паттумтэ, хумыс пыге мощ ва̄гталнуваг пат­туӈкв.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
17,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_017,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/017_Ягпыганэ_ке_м_вос_о_.wav,63.510,65.340,Ягпыганэ ке̄м вос о̄лыс.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
18,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_018,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/018__ти_э_т_котильт_э_кв.wav,65.390,67.570,"Ӣти, э̄т котильт э̄ква ня̄нь равтум. ",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
19,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_019,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/019_Пыге_ла_гыл_паттаныл.wav,67.610,73.470,"Пыге ла̄гыл паттаныл хант-ло̄мт кирпмаптам, тувыл ня̄р ня̄нен пармап­тамтэ ос тув тэ̄лумтамтэ.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
20,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_020,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/020_Равтлыгтамтэ_ня_ниг_.wav,73.560,76.000,"Равтлыгтамтэ, ня̄ниг ва̄рапамтэ. ",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
21,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_021,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/021_Тувыл_а_лпыл_пыге_та.wav,76.130,78.710,Тувыл а̄лпыл пыге тамле ня̄нил тыт­тумтэ. ,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
22,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_022,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/022_Ань_ма_нь_мисхум_та_.wav,78.850,82.240,"Ань ма̄нь мисхум та ня̄нь тэ̄м, та̄ра таквитэ та мостумтэ.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
23,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_023,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/023_Та_ра_таквитэ_а_ртал.wav,82.290,85.870,"Та̄ра таквитэ а̄рталанэ̄тэ, хотум ва̄гта̄лыг о̄лнэ̄тэ суйты.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
24,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_024,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/024_Тупъер_ре_ва_ге_хот_.wav,85.960,89.360,Тупъер ё̄ре-ва̄ге хот-минас. Тох и ла̄вум ща̄не нупыл.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
25,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_025,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/025_Сака_мат_хоса_ат_хул.wav,89.520,92.100,Сака мат хоса ат хультыс са̄в рӯпитаӈкв! ,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
26,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_026,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/026_Тувыл_хоса_о_лс_ман_.wav,92.130,99.000,"Тувыл хоса о̄лс ман ва̄ти о̄лс. Акв хо̄тал ань ма̄нь мисхум аквта во̄раян пище̄тыл а̄лпыл ква̄лапам, во̄рн тахам.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
27,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_027,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/027_Во_рн_тахам_э_т_х_лм.wav,99.030,102.680,"Во̄рн тахам, э̄т хӯлм я̄ӈк хосыт кос тахам, ёл та ра̄гматам.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
28,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_028,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/028_Ань_пыг_я_к_лы_па_лн.wav,102.730,105.190,Ань пыг я̄ӈк ёлы-па̄лн та тӯлыгпиме. ,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
29,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_029,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/029_Тох_та_ма_нь_мисхум_.wav,105.330,108.640,Тох та ма̄нь мисхум тот порсум. Мо̄йт са̄витэ ты.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
30,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_030,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/030_Ты_мо_йт_ам_нэ_пакт_.wav,108.680,110.500,Ты мо̄йт ам нэ̄пакт хо̄нтаслум.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
31,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_031,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/031_Ам_ма_нь_порамт_ма_н.wav,110.550,115.120,Ам ма̄нь порамт ма̄н па̄влувн акв ва̄тихал акв этнограф хум ёхтала̄лас.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
32,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_032,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/032_Ма_н_та_ве_Мальцев_о.wav,115.130,117.210,Ма̄н та̄ве Мальцев о̄йкаг ла̄выслӯв.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
33,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_033,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/033_Тав_холаме_юи_па_лт_.wav,117.350,121.080,Тав холаме юи-па̄лт потранэ руманэ̄н нэ̄пакыг хасве̄сыт.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
34,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_034,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/034_Ос_та_урыл_ам_ты_мо_.wav,121.170,123.860,Ос та урыл ам ты мо̄йт ты хо̄нтаслум.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
35,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_035,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/035_Мо_йт_мо_йтыгламтэ_а.wav,123.910,127.930,Мо̄йт мо̄йтыгламтэ ам яныг ягпыгум Роман Николаевич Анямов.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
36,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_036,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/036_Тав_со_тыр_онтырса_т.wav,128.060,135.090,"Тав со̄тыр онтырса̄т хо̄тпа нупыл кит та̄лныл, кит со̄тыр нёлоловхуйплов та̄л мус о̄лум та̄ланэ. ",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
37,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_037,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/037_Тав_о_лме_т_Ке_рас_к.wav,135.230,139.330,"Тав о̄лме̄т Ке̄рас­колыӈъя̄ па̄вылт о̄лыс, сака ка̄сащас нэ̄пак ло­виньтаӈкв.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
38,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_038,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/038_Колэ_т_сака_са_в_нэ_.wav,139.380,143.650,Колэ̄т сака са̄в нэ̄пак о̄ньщас. Ат ва̄г­лум хотыл тав хӯлыглам мо̄йте.,cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
39,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_039,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/039_Э_ры_яныг_ма_х_манэ_.wav,143.680,148.180,"Э̄рыӈ яныг ма̄х­манэ̄ныл хӯлыглам мо̄йтэ, э̄рыӈ нэ̄пакт ловинь­там мо̄йтэ.",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
40,Сатина Мария,mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_040,Сатина Мария/mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429/040_Мо_йт_рущ_ла_т_ыл_ха.wav,148.200,152.130,"Мо̄йт рущ ла̄т­ӈыл хансым о̄лыс, ам таве ма̄ньщи ла̄тӈыг тол­мащ­ласлум.  ",cb6b094c-6504-4b5a-8f5f-49cd55c62429,АА
41,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_001,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/001_Ре_гы_маснутанув_сус.wav,1.010,4.380,Ре̄гыӈ маснутанув суссылтавет.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
42,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_002,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/002_Ма_нь_таквс_э_тпос_о.wav,4.570,11.490,Ма̄нь таквс э̄тпос о̄выл хо̄таланэ̄т Ханты-Мансийск ӯст ма̄-вит ос э̄лумхо̄лас музей колт.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
43,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_003,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/003_Сака_мас_суссылтап_щ.wav,11.570,16.850,"Сака ёмас суссылтап щё̄питавес, тох намаявес тёплый север.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
44,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_004,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/004_Меховая_одежда_Средн.wav,16.950,20.640,Меховая одежда Среднего Приобья.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
45,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_005,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/005_Ты_суссылтап_ущ_р_пи.wav,20.680,26.270,"Ты суссылтап ущ рӯ­питаӈкве о̄вылтахтаме порат, тув ӯс мир коны­пал.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
46,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_006,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/006_Выездная_эксперт_ная.wav,26.280,35.570,Выездная эксперт­ная сессия ассоциации этнографических музеев России тэ̄ла торыг рӯпи­тан ма̄хум ёхталасыт.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
47,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_007,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/007_Ма_вит_ос_э_лумхо_ла.wav,35.780,41.870,Ма̄-вит ос э̄лумхо̄лас музей кӯщай хум Иван Александрович Яшков ла̄выс.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
48,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_008,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/008_Хунь_тамле_суссыл_та.wav,41.880,45.900,Хунь тамле суссыл­тапыт урыл мирн потыр­тэ̄в.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
49,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_009,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/009_Ам_ка_сы_ъе_мт_о_влэ.wav,45.920,51.250,Ам ка̄сыӈъе̄мт о̄влэ̄т суссылтап щё̄питан хо̄т­пат о̄вылтыт ла̄ве̄гум.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
50,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_010,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/010_Пормасыт_акван_атнэ_.wav,51.340,56.090,"Пормасыт акван-атнэ хо̄тпат, та̄наныл йильпииг щё̄питан ма̄хум.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
51,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_011,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/011_Наука_тэ_ла_ва_рнэ_о.wav,56.200,60.120,Наука тэ̄ла ва̄рнэ ос музеитыт рӯпи­тан хо̄тпа.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
52,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_012,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/012_Ты_тэ_ла_ва_ру_кве_н.wav,60.160,64.370,"Ты тэ̄ла ва̄руӈ­кве нас хунь, китыглахтын ла̄тыӈ са̄в о̄лы.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
53,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_013,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/013_Халанувт_потыртэ_в_с.wav,64.410,69.360,"Халанувт потыртэ̄в, суссылтапанув акван-нё̄тхатым ва̄риянӯв.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
54,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_014,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/014_Тынакт_маснут_ос_пор.wav,69.510,75.160,Тынакт маснут ос пор­мас ма̄н мо̄т ӯсыт о̄лнэ музеитныл тыг тотсӯв.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
55,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_015,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/015_Лянтор_Мегион_ос_Тюм.wav,75.190,78.520,"Лянтор, Мегион ос Тюмень ӯсытныл.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
56,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_016,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/016_То_ваныл_ма_нти_музе.wav,78.550,81.560,То̄ваныл ма̄нти музеювт о̄лэ̄гыт.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
57,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_017,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/017_Тувыл_То_рум_ма_музе.wav,81.570,86.510,Тувыл То̄рум ма̄ музей ос центр ремёсел кол мас­нут ос пормас. ,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
58,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_018,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/018_Тамле_суссылтапыт_щ_.wav,86.540,90.460,Тамле суссылтапыт щё̄питан хо̄тпат мираныл культура.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
59,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_019,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/019_Ос_пе_с_йис_о_лупса_.wav,90.460,97.090,"Ос пе̄с йис о̄лупса ма̄гыс сыманыл ща̄рге̄гыт, акван-нё̄тха­тым са̄в э̄рнэ тэ̄лат ва̄­ре̄гыт. ",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
60,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_020,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/020_Тыт_ань_яныгхо_тпат_.wav,97.150,102.320,"Тыт ань яныгхо̄тпат ос ма̄ньлат ма̄хум акван-хо̄нтхатэ̄гыт, халанылт.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
61,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_021,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/021_Потыртэ_гыт_ты_суссы.wav,102.330,106.740,"Потыртэ̄гыт, ты суссылтапув ща̄гтым сунсыглаӈкв патыяныл.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
62,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_022,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/022_Тувыл_Наталья_Ана_то.wav,106.830,110.960,Тувыл Наталья Ана­тольевна Тучкова ла̄тыӈ ла̄выс.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
63,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_023,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/023_Тав_доктор_истори_че.wav,110.980,114.510,Тав доктор истори­ческих наук намыл маим о̄лы.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
64,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_024,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/024_Ма_вит_ос_э_лумхо_ла.wav,114.600,121.890,Ма̄-вит ос э̄лумхо̄­лас музей история ос этнография колнакēт ма̄к научный сотрудникыг рӯпиты.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
65,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_025,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/025_Суссылтапув_т_плый_с.wav,122.090,127.440,Суссылтапув тёплый север: меховая одежда Среднего При­обья.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
66,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_026,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/026_Таима_гыс_тох_на_ма_.wav,127.450,131.660,"Таима̄гыс тох на­ма­яслӯв, тав туп ре̄гыӈ маснут урыл хунь.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
67,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_027,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/027_Тамле_маснут_ю_нтнэ_.wav,131.720,136.650,"Тамле маснут ю̄нтнэ хо̄тпат сы­маныл ре̄гыӈыт, ка̄таныл ре̄гыӈыт.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
68,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_028,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/028_На_н_ань_тыт_са_в_ма.wav,136.670,140.660,На̄н ань тыт са̄в ма̄ныл тотым ре̄гыӈ мас­нут ка̄салэгы̄н.,fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
69,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_029,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/029_Сахит_мольща_ыт_ва_й.wav,140.700,143.420,"Сахит, мольщаӈыт, ва̄йит, ня̄рат.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
70,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_030,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/030_Ма_ньщит_хантыт_сара.wav,143.450,149.040,"Ма̄ньщит, хантыт, сараныт ос во̄рт о̄лнэ ё̄рн ма̄хум та̄н о̄ньщам маснутаныл.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
71,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_031,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/031_Ва_т_нупыл_нила_сахи.wav,149.120,153.460,"Ва̄т нупыл нила сахит, та̄н халанылт саран нэ̄ мольщаӈ.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
72,Сатина Мария,mns_fafddecd-cba3-48ad-bc8d-361d3219331a_032,Сатина Мария/mns_fafddecd-cba3-48ad-bc8d-361d3219331a/032_О_с_акв_тыса_вит_ва_.wav,153.530,156.630,"О̄с акв тыса̄вит ва̄йит, ва̄таӈ то̄­рыт.",fafddecd-cba3-48ad-bc8d-361d3219331a,ЛТ
