filename,start,end,speaker,text
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_017,58.773,66.633,АА,"– Наӈ май о̄лкен акваг во̄рт ё̄мыгтэ̄гын, во̄раēгын манарегыт тай, хотьютын, ща̄нян ханищта̄лвесын, во̄рт? "
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_041,142.350,147.440,АА,"Ка̄сыӈ колна, ка̄сыӈ хо̄тпан посыӈ хо̄талыл о̄луӈкв, пуста̄гыл о̄луӈкв ла̄вēв."
mns_96090f15-60d2-403c-9248-112bd4773e4c_056,213.260,216.960,АА,Та юи-па̄лт тав аспирантуран ханищ­тах­туӈкв хультуптавес.
mns_96090f15-60d2-403c-9248-112bd4773e4c_025,90.940,92.910,АА,Омаге-а̄тяге хоса ат о̄лсы̄г.
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_024,60.430,62.050,АА,"Ла̄ви: минэ̄н, лай, ювле."
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_033,148.460,152.500,АА,"Тувыл тай тāнки ва̄ганыл, воссыг тув ялме мат ла̄тӈе ат потырталвес."
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_010,32.060,35.230,АА,Тувыл та ма̄нь мисхум такви сака пе̄лпыщ ё̄мыг­танэ̄тэ.
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_034,119.840,123.330,АА,Ка̄сыӈ та̄лэ е̄мт та̄н сака сэ̄ръёрыг ты кастыл щё̄питахтэ̄гыт.
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_004,12.700,17.580,АА,"Тув ляпаннув пыгрищ минас, насати, Ме̄ӈкв-ōйка я̄ӈкылман ёл-нопум."
mns_96090f15-60d2-403c-9248-112bd4773e4c_086,345.620,346.900,АА,Зенитный полкна хасвес.
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_034,81.930,83.030,АА,Акв о̄йкатэ ла̄ви..
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_036,127.740,131.030,АА,Школаӈ повар э̄кватын по̄ртыӈ со̄ламатыл тыттуве̄сыт.
mns_96090f15-60d2-403c-9248-112bd4773e4c_019,65.810,70.140,АА,Со̄тыр нёлолов са̄т яныг са̄т нупыл са̄т та̄л порат перепись нэ̄пакыт щирыл.
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_010,30.930,33.170,АА,Тувыл э̄лаль колонна щирыл нёвумтасыт.
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_028,159.666,162.366,АА,Альбина Александровна ань та̄ланэ са̄выг ēмтсыт. 
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_055,130.340,131.520,АА,Са̄т лю̄ле̄гыт.
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_026,92.130,99.000,АА,"Тувыл хоса о̄лс ман ва̄ти о̄лс. Акв хо̄тал ань ма̄нь мисхум аквта во̄раян пище̄тыл а̄лпыл ква̄лапам, во̄рн тахам."
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_040,174.740,179.260,АА,"Акв­ма­тыр нумын о̄лнэ̄тэ, акваг тулыт хот та осгиянэ, та осгиянэ. "
mns_91031035-59b1-4d78-9035-bc14e6303c06_003,9.000,12.070,АА,Ам Лю̄лья па̄выл урыл потыр хансэ̄гум.
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_057,132.540,133.560,АА,Таянытыт та!
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_033,172.133,176.186,АА,Ворто̄лнэ а̄пщикев урыл потыртан порат ла̄тӈыт мо̄т щирыл ла̄вавет.
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_046,204.530,209.200,АА,Ёлы ма̄хум ла̄внэ̄ныл: ты хорамыӈ ӯйн тул хӯрыг па̄лыг та на̄хвасавес.
mns_91031035-59b1-4d78-9035-bc14e6303c06_024,105.890,112.280,АА,"Ань ам омагум-а̄тягум ёт тув то̄ванакт ялантэ̄в, пил тот ва̄тэ̄в, няслэ̄в."
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_023,82.290,85.870,АА,"Та̄ра таквитэ а̄рталанэ̄тэ, хотум ва̄гта̄лыг о̄лнэ̄тэ суйты."
mns_96090f15-60d2-403c-9248-112bd4773e4c_099,405.160,407.620,АА,"Со̄ль, сака та̄рвитаӈ нак о̄лыс."
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_015,50.550,53.480,АА,Хунь мир пуссын площадин памятник по̄хын атхатасыт.
mns_96090f15-60d2-403c-9248-112bd4773e4c_041,147.260,151.860,АА,Курсыт а̄стламе юи-па̄лт Ленинград ӯсн Лӯима̄ мир Институтн ке̄твес.
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_042,100.060,101.220,АА,Ам тох ты номсэ̄гум.
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_031,110.550,115.120,АА,Ам ма̄нь порамт ма̄н па̄влувн акв ва̄тихал акв этнограф хум ёхтала̄лас.
mns_96090f15-60d2-403c-9248-112bd4773e4c_092,374.100,377.490,АА,Ос Ленинград ӯс ляпат Нева я̄ тумпыт порславес.
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_041,179.550,185.460,АА,"Тул ёхтыпалы, хот-осгасытэ, тул ёхтыпалы, хот-осгасытэ, тулыт акван-атъянэ. "
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_043,101.350,104.710,АА,"Э̄лум­хо̄лас йӣсыӈ То̄рум ва̄ри, э̄лумхо̄лас нотыӈ То̄рум ва̄ри."
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_022,96.890,99.010,АА,Пыге та хультыгпас. Та минасы̄г.
mns_91031035-59b1-4d78-9035-bc14e6303c06_017,70.710,75.170,АА,Алгальнув Торапи-о̄йка Аннэ э̄ква­тэ̄нтыл о̄лсыг.
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_006,18.970,22.150,АА,"Щар ма̄нь а̄пщияныл сака со̄тыӈ, алыщлапыӈ хум о̄лум."
mns_91031035-59b1-4d78-9035-bc14e6303c06_006,19.960,22.630,АА,Тот Лю̄лья Ма̄ньян паты.
mns_96090f15-60d2-403c-9248-112bd4773e4c_034,122.440,127.170,АА,Константин Алексеевич Ха̄льӯсныл Москван ке̄твес э̄лаль ханищтахтуӈкв.
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_038,186.607,187.560,АА,Анна АЛГАДЬЕВА.
mns_96090f15-60d2-403c-9248-112bd4773e4c_081,322.180,326.380,АА,Со̄тыр онтырса̄т ва̄тыт та̄тылл Панков Ленинград ӯст о̄лыс.
mns_96090f15-60d2-403c-9248-112bd4773e4c_012,41.020,45.460,АА,"Любовь Павловна такви ма̄тэ̄ныл о̄лум хум, Панков урыл ёмщакв потыртас."
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_017,55.820,61.050,АА,О̄влэ̄т кӯщаиг о̄лнэ хо̄тпат та̄наныл сымын хо̄йхатнэ ла̄тӈытыл янытласаныл.
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_032,78.020,78.970,АА,Хумле ва̄рапиянум?
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_025,110.610,114.890,АА,"Пыгрищ ат мины, пилы, ла̄ви. Ам ат минэ̄гум, юв минэ̄гум."
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_004,10.770,14.300,АА,"Акв хоттымат ма̄т па̄выл о̄лум, тот тэ̄лтал Мис ма̄хум о̄лмыт. "
mns_96090f15-60d2-403c-9248-112bd4773e4c_085,340.460,345.320,АА,"Нэ̄пакт щирыл, тав щар война о̄вылтахтам порат та̄ра армиян минас."
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_009,34.790,38.290,АА,А̄квын-э̄кв палт ялэн. Ты морсыӈ ма̄т колум ты о̄лы. 
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_033,79.170,81.600,АА,"Ам палтум пе̄рхатуӈкв ёхталасыт, лай."
mns_96090f15-60d2-403c-9248-112bd4773e4c_055,209.400,212.940,АА,Тот тав по̄слам хуритэ гран-при мӯйлупсал майвес.
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_010,38.820,42.430,АА,"Хӯлтумтэ: тыщир минэн, тах ам колумн тув та нэ̄глапе̄гын."
mns_91031035-59b1-4d78-9035-bc14e6303c06_007,22.950,28.180,АА,"Лю̄лья ты сака ма̄нь я̄, витэ щар сэ̄мыл, ща̄й хурипа."
mns_96090f15-60d2-403c-9248-112bd4773e4c_073,291.360,295.900,АА,"Яныг хо̄нт ва̄рмаль па̄сныл иӈ сака са̄в хо̄тпа тох ма̄т, я̄ӈкылмат."
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_005,17.950,21.960,АА,"Ме̄ӈкв-ōйкан ка̄салавес, рōӈхаве: апыкве, тыг ялэн!"
mns_96090f15-60d2-403c-9248-112bd4773e4c_023,85.090,88.770,АА,"Тав а̄ще, ё̄рн хум, са̄лы ӯрнэ хумыг о̄лыс."
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_004,6.586,9.859,АА,"Таквсы хо̄тал то̄рум хо̄тал ка̄ркам хо̄тпа юн ат о̄лы.
"
mns_96090f15-60d2-403c-9248-112bd4773e4c_098,400.770,404.660,АА,Михаил Владимиро­вич та пилыщмаӈ пора урыл са̄в потыртас.
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_014,57.720,60.740,АА,"А̄патэ хот āл ты сакватытэ, та са̄ӈхи."
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_026,115.250,120.210,АА,"Минуӈкв ат таӈхи. Я, наӈ ме̄н палтуме̄н ат ялсын, манарыл мыглуме̄н?"
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_039,94.110,95.970,АА,"Та̄н, тай, та ке̄тсанум: тот та на̄ӈке̄гыт!"
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_001,0.070,2.780,АА,Хумыс са̄т хум а̄хвтас а̄ӈквалыг овумласыт.
mns_96090f15-60d2-403c-9248-112bd4773e4c_010,33.640,37.830,АА,"Тав исторический клуб о̄ньщи, па̄влыӈ ня̄врамыт тув ялантэ̄гыт."
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_035,83.230,86.260,АА,"Наӈки ва̄глын, лай, наӈки матыр са̄йт о̄ньще̄гын. "
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_053,124.720,128.500,АА,Са̄тахкем. Ка̄рсыт. Но̄х тай нэмхотмус ат ха̄ӈхе̄гын.
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_007,24.610,28.590,АА,"Та во̄ваве:  тыг ялапāлэн, апыгкве, ам ёл-нопсум!"
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_016,65.240,70.600,АА,"Пыге такос ро̄ӈхитэ, ат пōйты, та вората̄лы, а̄патэ а̄ла ты сакватытэ. "
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_047,110.940,113.560,АА,"Пуссын тув а̄втасыг овумламыт, лю̄ле̄гыт."
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_017,63.510,65.340,АА,Ягпыганэ ке̄м вос о̄лыс.
mns_91031035-59b1-4d78-9035-bc14e6303c06_027,121.780,125.980,АА,Тав тит йигрищаге ёт тот ёнгасым ха̄йтыгтас. 
mns_96090f15-60d2-403c-9248-112bd4773e4c_069,272.820,280.060,АА,Михаил Владимирович юртанэ ёт Константин Алексеевич Панков хо̄нтлам ва̄рмале урыл яныг кисхатнэ рӯпата ва̄рсыт.
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_008,24.880,29.060,АА,"Таса̄вит ӯйхул юв тотнэ̄тэ, ща̄не ат а̄лыма­нэ̄тэ пуссын хот-щё̄пи­таӈкв. "
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_045,200.980,203.940,АА,"Ма̄ янытыл та пулхатам, мāлтыпыг та е̄мтум. "
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_048,213.630,217.040,АА,Тул хӯрыг па̄лыг-на̄хвасастэ – таве алуӈкв ат ро̄ви.
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_018,46.440,49.650,АА,"Ам хӯлыгласум, на̄н матыр, майласын ман манарасын?"
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_014,35.410,38.690,АА,Ма̄на? Лай: ань са̄лыянув хот-ӯстысанув.
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_008,20.910,22.690,АА,Такем та ё̄мантэ̄гыт тыгле?
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_037,87.740,91.270,АА,"Э̄лум­хо̄лас йӣсыӈ то̄рум ва̄ри, э̄лум­хо̄лас нотыӈ то̄рум ва̄ри."
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_042,186.140,189.760,АА,Ты маныр тыяныт ащирма? Ащирман ты тэ̄вēв! Мāхум лāвēгыт.
mns_96090f15-60d2-403c-9248-112bd4773e4c_096,392.340,393.690,АА,Ке̄рыл та̄гиньтаптувес.
mns_91031035-59b1-4d78-9035-bc14e6303c06_021,87.840,92.650,АА,"Ма̄нья ва̄тат ос Хатане­выт о̄лсыт, Леля-Миска ще̄мьятэ. "
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_037,131.200,132.830,АА,Ос исум ща̄ил айтве̄сыт.
mns_96090f15-60d2-403c-9248-112bd4773e4c_103,418.110,421.960,АА,Па̄влыӈ мемориал по̄хын щё̄ри пинуӈкв ялсыт ос аквъёт по̄слахтасыт.
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_012,35.919,39.279,АА,"Ань о̄лнэ̄нт, пēс о̄лнэ̄нт - ты ва̄рмаль тох о̄лыс."
mns_96090f15-60d2-403c-9248-112bd4773e4c_021,74.950,78.590,АА,Ань ты хо̄талытт са̄тлов нупыл ат хо̄тпа туп о̄лы.
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_020,103.286,106.813,АА,"– Ос матыр со̄рп ман матыр, яныг матыр катын-паттыгла̄лсына?"
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_018,65.390,67.570,АА,"Ӣти, э̄т котильт э̄ква ня̄нь равтум. "
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_027,145.120,147.007,АА,Тамле матыр люль писаль ке тай. 
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_025,89.520,92.100,АА,Сака мат хоса ат хультыс са̄в рӯпитаӈкв! 
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_038,133.360,136.500,АА,Тувыл ос̄ тыт са̄всыр ёнгын накыт ос эстафета о̄лыс.
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_015,38.780,40.340,АА,Таиянув кинсым яласэ̄в.
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_050,118.080,121.050,АА,Тав ёлы-па̄лэ̄н сӯлил ялнэ хум - сӯлил ялы.
mns_96090f15-60d2-403c-9248-112bd4773e4c_011,38.110,40.690,АА,Тан о̄с са̄всыр кисхатнэ рӯпата ва̄ре̄гыт.
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_019,97.880,99.500,АА,"– Матыр щёпыр, лэ̄ӈын?"
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_037,184.420,186.267,АА,А̄ӈхсалаӈкв – нуйгалаӈкв. 
mns_96090f15-60d2-403c-9248-112bd4773e4c_028,100.000,102.150,АА,Кӯщта ма̄нь та̄гыл ка̄ркамыг о̄лыс.
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_054,128.620,130.170,АА,Щар а̄хтвас а̄ӈквалыт. 
mns_96090f15-60d2-403c-9248-112bd4773e4c_091,369.020,373.620,АА,"Нумыл йинэ ракета суй пувнэ ма̄т хо̄нтлас, тувыл пехотан минас."
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_019,63.180,67.290,АА,Школат ханищтахтын кадетыт ос мариинкат колонна щирыл нё̄тнэ̄г ё̄мсыт.
mns_96090f15-60d2-403c-9248-112bd4773e4c_067,259.520,266.650,АА,Ты хум память земли нашей историко-просветительский общественный организацият председатель ва̄ӈын хумыг о̄лы.
mns_96090f15-60d2-403c-9248-112bd4773e4c_020,70.350,74.690,АА,Сӯкыръя па̄вылт яныг са̄т ва̄т нупыл нёлолов э̄лумхо̄лас о̄лум.
mns_96090f15-60d2-403c-9248-112bd4773e4c_083,330.970,336.890,АА,Тот хансым: тав сентябоь э̄тпос со̄тыр онтырса̄т налыман нупыл о̄выл та̄л порат порславес.
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_020,73.560,76.000,АА,"Равтлыгтамтэ, ня̄ниг ва̄рапамтэ. "
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_022,55.480,57.960,АА,"Лю̄ле̄гыт, манаре̄гыт, тихалт потраме̄гыт."
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_011,42.740,47.890,АА,"Пыгрищ та мины. Ё̄мыс, ё̄мыс, со̄ль, ла̄вум ма̄тэ̄т, сӯйт кол ӯнлы. "
mns_96090f15-60d2-403c-9248-112bd4773e4c_032,114.530,118.220,АА,Тувыл о̄с аквта порат Ленинград ӯст Лӯима̄ мир Институт пӯсвес.
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_019,67.610,73.470,АА,"Пыге ла̄гыл паттаныл хант-ло̄мт кирпмаптам, тувыл ня̄р ня̄нен пармап­тамтэ ос тув тэ̄лумтамтэ."
mns_96090f15-60d2-403c-9248-112bd4773e4c_078,310.430,315.080,АА,"Хунь Любовь Павловна ёт румалахтасӯв, тав Константин Панков урыл потыртас."
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_036,160.800,163.360,АА,"Хоса лэ̄гуп са̄кваляк, ма̄ньщи мōйт."
mns_96090f15-60d2-403c-9248-112bd4773e4c_088,352.660,359.030,АА,"Тав ла̄выс, юи-о̄выл пищатэ во̄ртур э̄тпост со̄тыр онтырса̄т налыман нупыл о̄выл та̄л порат о̄лыс."
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_050,220.750,225.580,АА,"Тул хӯрыг па̄лыг-покматас – тулыӈыг та е̄мтапас, мāлтыпыг та е̄мтыс."
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_032,115.130,117.210,АА,Ма̄н та̄ве Мальцев о̄йкаг ла̄выслӯв.
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_037,135.230,139.330,АА,"Тав о̄лме̄т Ке̄рас­колыӈъя̄ па̄вылт о̄лыс, сака ка̄сащас нэ̄пак ло­виньтаӈкв."
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_035,178.359,179.873,АА,Суиӈут – писаль.
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_022,73.350,77.720,АА,Ка̄сыӈ та̄л ма̄хум хо̄нтлам мо̄т о̄лум рӯтаныл хурит ёт-тотыяныл.
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_007,21.030,24.240,АА,Ты кастыл па̄вылкан котильн нё̄тнэ сцена ва̄рыглавес.
mns_96090f15-60d2-403c-9248-112bd4773e4c_066,255.540,259.290,АА,Тувыл ма̄н Михаил Владимирович Чипенко ёт румалахтасӯв.
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_032,169.993,171.687,АА,"Пус ка̄т, пус ла̄гыл тавēн!"
mns_96090f15-60d2-403c-9248-112bd4773e4c_102,412.750,417.880,АА,"Яныг хо̄нт урыл потрыт оигпам юи-па̄лт ня̄вра­мыт, ханищтан хо̄тпат ос мӯй ма̄хмыт."
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_014,45.740,50.050,АА,"Сома кина хольтыл, а̄гит пе̄с э̄ргиыт э̄ргим э̄лаль тотантаве̄сыт."
mns_91031035-59b1-4d78-9035-bc14e6303c06_020,83.980,87.610,АА,Тувыл ма̄нь пыге̄н Микитан колыл ӯнттувесы̄г.
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_043,190.250,194.540,АА,"Сāкваляк нōх-тахам. Хōт тул хӯрыг осгын ма̄ ōлы, тув тахам."
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_025,124.966,126.966,АА,"– Йӣквнэй о̄с ва̄рыгла̄лсанэ, а̄ти?"
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_007,22.150,24.800,АА,"Хоталь мины, матыр-а̄ти акваг ка̄тын та патты. "
mns_96090f15-60d2-403c-9248-112bd4773e4c_063,243.500,247.080,АА,Тав Константин Панков намыӈ-суиӈыг мирн хӯлтмалтастэ.
mns_96090f15-60d2-403c-9248-112bd4773e4c_045,161.100,163.730,АА,Та̄н ма̄гсыланыл мастерскойт ва̄рим о̄лсыт.
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_011,35.300,41.260,АА,"Щар сома ха̄й­тыл ялнэ̄тэ. Тыг хотталь ты, ва̄ӈнаге̄н ман мар­ка­ге̄н ма̄нь товылквег ха­нувъяптынэ̄тэ."
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_009,26.700,30.420,АА,Па̄влыӈ ма̄хум ос ня̄в­рамыт о̄влэ̄т пуссын школа а̄висунтын атха­та­сыт.
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_035,156.340,159.770,АА,"Тащир та потырта̄лвес, потре тув та холас. "
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_013,52.290,57.580,АА,"Ме̄ӈкв-э̄ква пыгрище āпан хасым ӯнлы, тортāл та вораты, тортāл та са̄ӈхи."
mns_96090f15-60d2-403c-9248-112bd4773e4c_087,347.380,352.390,АА,"Константин нэ̄ о̄ньщас, война холам юи-па̄лт нэ̄тэ кисхатнэ нэ̄пак хансыглас."
mns_96090f15-60d2-403c-9248-112bd4773e4c_048,174.660,177.550,АА,Тыт тав такви ма̄тэ ка̄тыл по̄слаӈкв ла̄ввес.
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_023,77.900,79.470,АА,Памятник по̄хын тӯщтыяныл.
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_027,94.130,96.740,АА,Ос труженикыг тыла о̄лум рӯтанэ о̄патэ.
mns_96090f15-60d2-403c-9248-112bd4773e4c_046,164.030,168.670,АА,Хо̄т студентыт хаснэйӣвыл по̄сласыт ос пластелиныл са̄всыр хурит ва̄рсыт.
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_039,136.810,139.160,АА,Тох ты Хулюмсӯнт па̄вылт Победа хо̄тал минас.
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_024,106.020,109.980,АА,"Пыгрищ нупыл ла̄ве̄г. Ме̄н колме̄н ялэн, ме̄н палтуме̄н ялэн. "
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_001,0.230,3.210,АА,"Пыгрищ ос Ме̄ӈкв э̄кваг-ōйкаг, ма̄ньщи мо̄йт."
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_023,58.090,60.410,АА,"Айтсанэ, лӯтсанэ, тэ̄сыт, манарасыт."
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_028,125.680,129.330,АА,"Суп тāйтэ Ме̄ӈкв-э̄ква яктапастэ, ха̄лматастэ, та мистэ. "
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_023,119.533,122.613,АА,Тувыл хумле ва̄рыглыянэ? 
mns_96090f15-60d2-403c-9248-112bd4773e4c_076,304.570,307.170,АА,Наме тув хансым памятникыл тӯщтыяныл.
mns_ca5e6e76-2770-4449-b316-ac868df3c03f_029,129.570,134.280,АА,"Пыгрищ акван-пēрыгтастэ, хотталь пиныстэ, юв та тотастэ. Юв та минас."
mns_12509f35-1c17-4da3-94e9-4407ca6c0a7e_040,139.540,141.990,АА,Ка̄сыӈ хо̄тпа ты ва̄рмаль урыл янытлылӯв.
mns_91031035-59b1-4d78-9035-bc14e6303c06_029,128.690,137.970,АА,"Ам омам ты па̄влыг урыл акваг потырта̄лы, ам Лю̄лья ос Я̄сунт па̄в­лыг сака э̄руптыягум, ты ма̄к ма̄н па̄влагув. "
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_024,85.960,89.360,АА,Тупъер ё̄ре-ва̄ге хот-минас. Тох и ла̄вум ща̄не нупыл.
mns_cb6b094c-6504-4b5a-8f5f-49cd55c62429_038,139.380,143.650,АА,Колэ̄т сака са̄в нэ̄пак о̄ньщас. Ат ва̄г­лум хотыл тав хӯлыглам мо̄йте.
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_024,122.649,124.253,АА,Такви а̄ӈхсалыянэ?
mns_2767c816-42ce-40cd-9f96-77d8703bac5c_002,2.146,3.960,АА,Таквсы хо̄тал – тыныӈ хо̄тал.
mns_91031035-59b1-4d78-9035-bc14e6303c06_028,126.190,128.480,АА,Тэ̄лы ос та̄н Я̄сунтыт о̄лсыт.
mns_5314ef6d-e047-4d31-8c02-2efe076d5e0d_016,40.620,44.930,АА,"Ла̄вейт, ам хӯлыгласлум, лай, ос ам палтум матыр тагап о̄ньщеин?"
mns_96090f15-60d2-403c-9248-112bd4773e4c_024,88.930,90.760,АА,Оматэ ма̄ньщи нэ̄ о̄лыс.
